date,Italienisches Essen,Chinesisches Essen,Deutsches Essen,isPartial
2025-04-24,0,0,0,False
2025-04-25,0,0,0,False
2025-04-26,0,0,0,False
2025-04-27,0,0,0,False
2025-04-28,0,0,0,False
2025-04-29,0,0,0,False
2025-04-30,0,0,0,False
2025-05-01,0,0,0,False
2025-05-02,0,0,0,False
2025-05-03,0,0,0,False
2025-05-04,0,0,0,False
2025-05-05,0,0,0,False
2025-05-06,0,0,0,False
2025-05-07,0,0,0,False
2025-05-08,0,0,0,False
2025-05-09,0,0,0,False
2025-05-10,53,89,44,False
2025-05-11,87,100,32,False
2025-05-12,61,58,33,False
2025-05-13,56,47,27,False
2025-05-14,59,67,35,False
2025-05-15,69,63,35,False
2025-05-16,86,77,43,False
2025-05-17,68,99,44,False
2025-05-18,81,92,59,False
2025-05-19,62,56,55,False
2025-05-20,66,72,42,False
2025-05-21,67,75,39,False
2025-05-22,57,56,56,False
2025-05-23,55,79,24,False
2025-05-24,0,0,0,True
